MUNICIPIO_COD;MREH0116;MREH0126;MREH0136;MREH0146;MREH0156;MREH0166;MREH0111;MREH0121;MREH0131;MREH0141;MREH0151;MREH0161;MREH0112;MREH0122;MREH0132;MREH0142;MREH0152;MREH0162;MREH0113;MREH0123;MREH0133;MREH0143;MREH0153;MREH0163;MREH0114;MREH0134;MREH0144;MREH0154;MREH0164;MREH0115;MREH0125;MREH0135;MREH0145;MREH0155;MREH0165;MREH02;MREH0316;MREH0326;MREH0336;MREH0346;MREH0356;MREH0366;MREH0311;MREH0321;MREH0331;MREH0341;MREH0351;MREH0361;MREH0312;MREH0322;MREH0332;MREH0342;MREH0352;MREH0362;MREH0313;MREH0323;MREH0333;MREH0343;MREH0353;MREH0363;MREH0314;MREH0334;MREH0344;MREH0354;MREH0364;MREH0315;MREH0325;MREH0335;MREH0345;MREH0355;MREH0365;MREH04
2508901;1515;0;387;564;336;228;1089;0;344;397;121;227;0;0;0;0;0;0;246;0;15;139;91;1;0;0;0;0;0;180;0;28;28;124;0;Sim;13;0;0;6;7;0;12;0;0;5;7;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
2509008;493;28;124;192;92;57;204;22;40;60;44;38;0;0;0;0;0;0;128;0;36;45;35;12;0;0;0;0;0;161;6;48;87;13;7;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim
2509057;493;12;57;276;147;1;271;3;49;126;92;1;0;0;0;0;0;0;106;4;7;84;11;0;0;0;0;0;0;116;5;1;66;44;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2509107;875;2;112;412;349;0;640;2;100;249;289;0;0;0;0;0;0;0;86;0;1;63;22;0;0;0;0;0;0;149;0;11;100;38;0;Sim;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;Não
2509156;465;2;117;186;115;45;197;0;51;59;43;44;0;0;0;0;0;0;238;0;59;121;58;0;0;0;0;0;0;30;2;7;6;14;1;Sim;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Não
2509206;558;0;138;199;221;0;413;0;110;136;167;0;0;0;0;0;0;0;21;0;0;14;7;0;0;0;0;0;0;124;0;28;49;47;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2509305;604;3;120;264;151;66;377;3;89;133;112;40;0;0;0;0;0;0;105;0;10;84;5;6;0;0;0;0;0;122;0;21;47;34;20;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2509339;314;0;69;117;128;0;94;0;34;22;38;0;0;0;0;0;0;0;77;0;9;35;33;0;0;0;0;0;0;143;0;26;60;57;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2509370;243;2;102;86;23;30;148;1;66;43;14;24;0;0;0;0;0;0;60;1;21;32;6;0;0;0;0;0;0;35;0;15;11;3;6;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2509396;342;0;70;157;115;0;232;0;50;104;78;0;0;0;0;0;0;0;52;0;7;37;8;0;0;0;0;0;0;58;0;13;16;29;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
